threshold,treat_none,treat_all_mean,treat_all_ci_lower,treat_all_ci_upper,Spatial Only_mean,Spatial Only_ci_lower,Spatial Only_ci_upper,Clinical Only_mean,Clinical Only_ci_lower,Clinical Only_ci_upper,Combined_mean,Combined_ci_lower,Combined_ci_upper
0.85,0.0,-2.702222,-3.377104,-2.030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.86,0.0,-2.966667,-3.689755,-2.246753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.87,0.0,-3.271795,-4.050505,-2.496503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0.0,-3.627778,-4.47138,-2.787879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.89,0.0,-4.048485,-4.968779,-3.132231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,-4.553333,-5.565657,-3.545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.91,0.0,-5.17037,-6.295174,-4.050505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0.0,-5.941667,-7.207071,-4.681818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.93,0.0,-6.933333,-8.379509,-5.493506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.94,0.0,-8.255556,-9.942761,-6.575758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.0,-10.106667,-12.131313,-8.090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0.0,-12.883333,-15.414141,-10.363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97,0.0,-17.511111,-20.885522,-14.151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0.0,-26.766667,-31.828283,-21.727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99,0.0,-54.533333,-64.656566,-44.454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
